gid,lbl,val,geometry,result
다사467447,18.00,18.0,"POLYGON ((946700 1944700, 946700 1944800, 946800 1944800, 946800 1944700, 946700 1944700))",144.75
다사456468,508.00,508.0,"POLYGON ((945600 1946800, 945600 1946900, 945700 1946900, 945700 1946800, 945600 1946800))",967.375
다사479445,455.00,455.0,"POLYGON ((947900 1944500, 947900 1944600, 948000 1944600, 948000 1944500, 947900 1944500))",853.125
다사486464,673.00,673.0,"POLYGON ((948600 1946400, 948600 1946500, 948700 1946500, 948700 1946400, 948600 1946400))",857.875
다사464454,44.00,44.0,"POLYGON ((946400 1945400, 946400 1945500, 946500 1945500, 946500 1945400, 946400 1945400))",336.375
다사471450,396.00,396.0,"POLYGON ((947100 1945000, 947100 1945100, 947200 1945100, 947200 1945000, 947100 1945000))",648.625
다사478462,214.00,214.0,"POLYGON ((947800 1946200, 947800 1946300, 947900 1946300, 947900 1946200, 947800 1946200))",443.625
다사500469,158.00,158.0,"POLYGON ((950000 1946900, 950000 1947000, 950100 1947000, 950100 1946900, 950000 1946900))",592.25
다사483446,205.00,205.0,"POLYGON ((948300 1944600, 948300 1944700, 948400 1944700, 948400 1944600, 948300 1944600))",599.375
다사456474,316.00,316.0,"POLYGON ((945600 1947400, 945600 1947500, 945700 1947500, 945700 1947400, 945600 1947400))",511.625
다사484461,141.00,141.0,"POLYGON ((948400 1946100, 948400 1946200, 948500 1946200, 948500 1946100, 948400 1946100))",424.0
다사491460,73.00,73.0,"POLYGON ((949100 1946000, 949100 1946100, 949200 1946100, 949200 1946000, 949100 1946000))",103.57142857142857
다사490455,22.00,22.0,"POLYGON ((949000 1945500, 949000 1945600, 949100 1945600, 949100 1945500, 949000 1945500))",174.0
다사480471,N/A,0.0,"POLYGON ((948000 1947100, 948000 1947200, 948100 1947200, 948100 1947100, 948000 1947100))",79.625
다사479461,227.00,227.0,"POLYGON ((947900 1946100, 947900 1946200, 948000 1946200, 948000 1946100, 947900 1946100))",488.0
다사470471,238.00,238.0,"POLYGON ((947000 1947100, 947000 1947200, 947100 1947200, 947100 1947100, 947000 1947100))",493.75
다사484457,333.00,333.0,"POLYGON ((948400 1945700, 948400 1945800, 948500 1945800, 948500 1945700, 948400 1945700))",544.5
다사476460,289.00,289.0,"POLYGON ((947600 1946000, 947600 1946100, 947700 1946100, 947700 1946000, 947600 1946000))",599.25
다사492463,96.00,96.0,"POLYGON ((949200 1946300, 949200 1946400, 949300 1946400, 949300 1946300, 949200 1946300))",194.5
다사471447,55.00,55.0,"POLYGON ((947100 1944700, 947100 1944800, 947200 1944800, 947200 1944700, 947100 1944700))",312.0
다사489469,583.00,583.0,"POLYGON ((948900 1946900, 948900 1947000, 949000 1947000, 949000 1946900, 948900 1946900))",786.75
다사466481,524.00,524.0,"POLYGON ((946600 1948100, 946600 1948200, 946700 1948200, 946700 1948100, 946600 1948100))",1021.75
다사468448,75.00,75.0,"POLYGON ((946800 1944800, 946800 1944900, 946900 1944900, 946900 1944800, 946800 1944800))",291.0
다사474467,135.00,135.0,"POLYGON ((947400 1946700, 947400 1946800, 947500 1946800, 947500 1946700, 947400 1946700))",178.375
다사483464,237.00,237.0,"POLYGON ((948300 1946400, 948300 1946500, 948400 1946500, 948400 1946400, 948300 1946400))",433.5
다사455468,516.00,516.0,"POLYGON ((945500 1946800, 945500 1946900, 945600 1946900, 945600 1946800, 945500 1946800))",1118.125
다사474470,116.00,116.0,"POLYGON ((947400 1947000, 947400 1947100, 947500 1947100, 947500 1947000, 947400 1947000))",336.125
다사485453,285.00,285.0,"POLYGON ((948500 1945300, 948500 1945400, 948600 1945400, 948600 1945300, 948500 1945300))",620.25
다사477456,319.00,319.0,"POLYGON ((947700 1945600, 947700 1945700, 947800 1945700, 947800 1945600, 947700 1945600))",630.125
다사459474,173.00,173.0,"POLYGON ((945900 1947400, 945900 1947500, 946000 1947500, 946000 1947400, 945900 1947400))",357.125
다사467458,319.00,319.0,"POLYGON ((946700 1945800, 946700 1945900, 946800 1945900, 946800 1945800, 946700 1945800))",581.25
다사476441,388.00,388.0,"POLYGON ((947600 1944100, 947600 1944200, 947700 1944200, 947700 1944100, 947600 1944100))",675.75
다사474455,341.00,341.0,"POLYGON ((947400 1945500, 947400 1945600, 947500 1945600, 947500 1945500, 947400 1945500))",640.375
다사465461,8.00,8.0,"POLYGON ((946500 1946100, 946500 1946200, 946600 1946200, 946600 1946100, 946500 1946100))",27.75
다사472483,534.00,534.0,"POLYGON ((947200 1948300, 947200 1948400, 947300 1948400, 947300 1948300, 947200 1948300))",971.875
다사477471,15.00,15.0,"POLYGON ((947700 1947100, 947700 1947200, 947800 1947200, 947800 1947100, 947700 1947100))",362.0
다사470480,844.00,844.0,"POLYGON ((947000 1948000, 947000 1948100, 947100 1948100, 947100 1948000, 947000 1948000))",1449.0
다사460470,52.00,52.0,"POLYGON ((946000 1947000, 946000 1947100, 946100 1947100, 946100 1947000, 946000 1947000))",282.125
다사470443,634.00,634.0,"POLYGON ((947000 1944300, 947000 1944400, 947100 1944400, 947100 1944300, 947000 1944300))",937.75
다사472469,121.00,121.0,"POLYGON ((947200 1946900, 947200 1947000, 947300 1947000, 947300 1946900, 947200 1946900))",256.875
다사473453,473.00,473.0,"POLYGON ((947300 1945300, 947300 1945400, 947400 1945400, 947400 1945300, 947300 1945300))",871.25
다사470458,190.00,190.0,"POLYGON ((947000 1945800, 947000 1945900, 947100 1945900, 947100 1945800, 947000 1945800))",669.125
다사464460,7.00,7.0,"POLYGON ((946400 1946000, 946400 1946100, 946500 1946100, 946500 1946000, 946400 1946000))",15.0
다사477446,N/A,0.0,"POLYGON ((947700 1944600, 947700 1944700, 947800 1944700, 947800 1944600, 947700 1944600))",248.125
다사467448,175.00,175.0,"POLYGON ((946700 1944800, 946700 1944900, 946800 1944900, 946800 1944800, 946700 1944800))",315.5
다사477453,263.00,263.0,"POLYGON ((947700 1945300, 947700 1945400, 947800 1945400, 947800 1945300, 947700 1945300))",552.0
다사469450,83.00,83.0,"POLYGON ((946900 1945000, 946900 1945100, 947000 1945100, 947000 1945000, 946900 1945000))",322.125
다사474483,329.00,329.0,"POLYGON ((947400 1948300, 947400 1948400, 947500 1948400, 947500 1948300, 947400 1948300))",666.0
다사469466,707.00,707.0,"POLYGON ((946900 1946600, 946900 1946700, 947000 1946700, 947000 1946600, 946900 1946600))",858.75
다사476465,19.00,19.0,"POLYGON ((947600 1946500, 947600 1946600, 947700 1946600, 947700 1946500, 947600 1946500))",64.375
다사457475,110.00,110.0,"POLYGON ((945700 1947500, 945700 1947600, 945800 1947600, 945800 1947500, 945700 1947500))",448.5
다사460472,186.00,186.0,"POLYGON ((946000 1947200, 946000 1947300, 946100 1947300, 946100 1947200, 946000 1947200))",344.5
다사458472,268.00,268.0,"POLYGON ((945800 1947200, 945800 1947300, 945900 1947300, 945900 1947200, 945800 1947200))",516.25
다사472437,131.00,131.0,"POLYGON ((947200 1943700, 947200 1943800, 947300 1943800, 947300 1943700, 947200 1943700))",388.5
다사471459,652.00,652.0,"POLYGON ((947100 1945900, 947100 1946000, 947200 1946000, 947200 1945900, 947100 1945900))",1092.875
다사480473,N/A,0.0,"POLYGON ((948000 1947300, 948000 1947400, 948100 1947400, 948100 1947300, 948000 1947300))",73.875
다사474437,194.00,194.0,"POLYGON ((947400 1943700, 947400 1943800, 947500 1943800, 947500 1943700, 947400 1943700))",497.125
다사480455,315.00,315.0,"POLYGON ((948000 1945500, 948000 1945600, 948100 1945600, 948100 1945500, 948000 1945500))",662.75
다사479453,41.00,41.0,"POLYGON ((947900 1945300, 947900 1945400, 948000 1945400, 948000 1945300, 947900 1945300))",226.125
다사498473,453.00,453.0,"POLYGON ((949800 1947300, 949800 1947400, 949900 1947400, 949900 1947300, 949800 1947300))",693.5
다사462488,35.00,35.0,"POLYGON ((946200 1948800, 946200 1948900, 946300 1948900, 946300 1948800, 946200 1948800))",121.5
다사500466,684.00,684.0,"POLYGON ((950000 1946600, 950000 1946700, 950100 1946700, 950100 1946600, 950000 1946600))",822.625
다사471482,883.00,883.0,"POLYGON ((947100 1948200, 947100 1948300, 947200 1948300, 947200 1948200, 947100 1948200))",1453.25
다사479450,150.00,150.0,"POLYGON ((947900 1945000, 947900 1945100, 948000 1945100, 948000 1945000, 947900 1945000))",402.0
다사471474,666.00,666.0,"POLYGON ((947100 1947400, 947100 1947500, 947200 1947500, 947200 1947400, 947100 1947400))",1043.25
다사491467,331.00,331.0,"POLYGON ((949100 1946700, 949100 1946800, 949200 1946800, 949200 1946700, 949100 1946700))",593.625
다사469433,268.00,268.0,"POLYGON ((946900 1943300, 946900 1943400, 947000 1943400, 947000 1943300, 946900 1943300))",573.375
다사471470,402.00,402.0,"POLYGON ((947100 1947000, 947100 1947100, 947200 1947100, 947200 1947000, 947100 1947000))",551.875
다사477477,235.00,235.0,"POLYGON ((947700 1947700, 947700 1947800, 947800 1947800, 947800 1947700, 947700 1947700))",591.375
다사465469,N/A,0.0,"POLYGON ((946500 1946900, 946500 1947000, 946600 1947000, 946600 1946900, 946500 1946900))",264.25
다사476479,484.00,484.0,"POLYGON ((947600 1947900, 947600 1948000, 947700 1948000, 947700 1947900, 947600 1947900))",1021.625
다사476466,225.00,225.0,"POLYGON ((947600 1946600, 947600 1946700, 947700 1946700, 947700 1946600, 947600 1946600))",287.25
다사490462,399.00,399.0,"POLYGON ((949000 1946200, 949000 1946300, 949100 1946300, 949100 1946200, 949000 1946200))",600.375
다사460493,487.00,487.0,"POLYGON ((946000 1949300, 946000 1949400, 946100 1949400, 946100 1949300, 946000 1949300))",625.625
다사461472,147.00,147.0,"POLYGON ((946100 1947200, 946100 1947300, 946200 1947300, 946200 1947200, 946100 1947200))",308.5
다사470477,514.00,514.0,"POLYGON ((947000 1947700, 947000 1947800, 947100 1947800, 947100 1947700, 947000 1947700))",938.75
다사471443,341.00,341.0,"POLYGON ((947100 1944300, 947100 1944400, 947200 1944400, 947200 1944300, 947100 1944300))",659.75
다사474461,401.00,401.0,"POLYGON ((947400 1946100, 947400 1946200, 947500 1946200, 947500 1946100, 947400 1946100))",763.875
다사473435,111.00,111.0,"POLYGON ((947300 1943500, 947300 1943600, 947400 1943600, 947400 1943500, 947300 1943500))",352.25
다사472474,487.00,487.0,"POLYGON ((947200 1947400, 947200 1947500, 947300 1947500, 947300 1947400, 947200 1947400))",775.875
다사479452,97.00,97.0,"POLYGON ((947900 1945200, 947900 1945300, 948000 1945300, 948000 1945200, 947900 1945200))",297.0
다사471485,108.00,108.0,"POLYGON ((947100 1948500, 947100 1948600, 947200 1948600, 947200 1948500, 947100 1948500))",209.25
다사454475,506.00,506.0,"POLYGON ((945400 1947500, 945400 1947600, 945500 1947600, 945500 1947500, 945400 1947500))",710.875
다사464461,14.00,14.0,"POLYGON ((946400 1946100, 946400 1946200, 946500 1946200, 946500 1946100, 946400 1946100))",29.125
다사479456,289.00,289.0,"POLYGON ((947900 1945600, 947900 1945700, 948000 1945700, 948000 1945600, 947900 1945600))",533.5
다사475469,194.00,194.0,"POLYGON ((947500 1946900, 947500 1947000, 947600 1947000, 947600 1946900, 947500 1946900))",335.0
다사467474,569.00,569.0,"POLYGON ((946700 1947400, 946700 1947500, 946800 1947500, 946800 1947400, 946700 1947400))",788.625
다사493473,N/A,0.0,"POLYGON ((949300 1947300, 949300 1947400, 949400 1947400, 949400 1947300, 949300 1947300))",0.0
다사472486,22.00,22.0,"POLYGON ((947200 1948600, 947200 1948700, 947300 1948700, 947300 1948600, 947200 1948600))",131.5
다사467465,315.00,315.0,"POLYGON ((946700 1946500, 946700 1946600, 946800 1946600, 946800 1946500, 946700 1946500))",641.375
다사478448,232.00,232.0,"POLYGON ((947800 1944800, 947800 1944900, 947900 1944900, 947900 1944800, 947800 1944800))",448.25
다사488469,145.00,145.0,"POLYGON ((948800 1946900, 948800 1947000, 948900 1947000, 948900 1946900, 948800 1946900))",414.375
다사498475,1123.00,1123.0,"POLYGON ((949800 1947500, 949800 1947600, 949900 1947600, 949900 1947500, 949800 1947500))",1287.875
다사467459,73.00,73.0,"POLYGON ((946700 1945900, 946700 1946000, 946800 1946000, 946800 1945900, 946700 1945900))",194.0
다사477470,171.00,171.0,"POLYGON ((947700 1947000, 947700 1947100, 947800 1947100, 947800 1947000, 947700 1947000))",388.375
다사471439,306.00,306.0,"POLYGON ((947100 1943900, 947100 1944000, 947200 1944000, 947200 1943900, 947100 1943900))",602.125
다사468485,36.00,36.0,"POLYGON ((946800 1948500, 946800 1948600, 946900 1948600, 946900 1948500, 946800 1948500))",226.0
다사481455,228.00,228.0,"POLYGON ((948100 1945500, 948100 1945600, 948200 1945600, 948200 1945500, 948100 1945500))",684.375
다사482448,521.00,521.0,"POLYGON ((948200 1944800, 948200 1944900, 948300 1944900, 948300 1944800, 948200 1944800))",906.375
다사485449,504.00,504.0,"POLYGON ((948500 1944900, 948500 1945000, 948600 1945000, 948600 1944900, 948500 1944900))",939.0
다사464463,14.00,14.0,"POLYGON ((946400 1946300, 946400 1946400, 946500 1946400, 946500 1946300, 946400 1946300))",165.625
다사490461,14.00,14.0,"POLYGON ((949000 1946100, 949000 1946200, 949100 1946200, 949100 1946100, 949000 1946100))",205.0
다사469467,8.00,8.0,"POLYGON ((946900 1946700, 946900 1946800, 947000 1946800, 947000 1946700, 946900 1946700))",205.0
다사483465,259.00,259.0,"POLYGON ((948300 1946500, 948300 1946600, 948400 1946600, 948400 1946500, 948300 1946500))",466.75
다사477466,72.00,72.0,"POLYGON ((947700 1946600, 947700 1946700, 947800 1946700, 947800 1946600, 947700 1946600))",159.25
다사467434,388.00,388.0,"POLYGON ((946700 1943400, 946700 1943500, 946800 1943500, 946800 1943400, 946700 1943400))",579.75
다사467439,36.00,36.0,"POLYGON ((946700 1943900, 946700 1944000, 946800 1944000, 946800 1943900, 946700 1943900))",205.625
