기간,자치구,동,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구
기간,자치구,동,전체인구,전체인구,전체인구,합계,합계,합계,내국인,내국인,내국인,외국인,외국인,외국인
기간,자치구,동,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2020,마포구,신수동,"23,606","11,438","12,168","3,366","1,454","1,912","3,362","1,451","1,911",4,3,1
2020,마포구,서교동,"26,981","12,105","14,876","3,470","1,498","1,972","3,451","1,484","1,967",19,14,5
2020,마포구,합정동,"18,576","8,613","9,963","2,698","1,136","1,562","2,688","1,128","1,560",10,8,2
2020,마포구,망원1동,"21,113","9,910","11,203","3,402","1,415","1,987","3,391","1,411","1,980",11,4,7
2020,마포구,망원2동,"19,216","9,030","10,186","3,081","1,302","1,779","3,073","1,298","1,775",8,4,4
2020,마포구,연남동,"16,682","7,812","8,870","2,546","1,080","1,466","2,448","1,031","1,417",98,49,49
2020,마포구,성산1동,"19,679","9,238","10,441","2,959","1,267","1,692","2,940","1,257","1,683",19,10,9
2020,마포구,성산2동,"40,669","18,469","22,200","6,120","2,426","3,694","6,106","2,420","3,686",14,6,8
2020,마포구,상암동,"31,997","15,251","16,746","3,919","1,682","2,237","3,905","1,675","2,230",14,7,7
2020,마포구,도화동,"21,998","10,566","11,432","3,727","1,605","2,122","3,704","1,594","2,110",23,11,12
2020,마포구,서강동,"25,386","11,974","13,412","3,178","1,354","1,824","3,171","1,350","1,821",7,4,3
2020,마포구,공덕동,"38,750","18,300","20,450","5,882","2,434","3,448","5,856","2,423","3,433",26,11,15
2020,마포구,아현동,"26,221","12,280","13,941","3,171","1,334","1,837","3,138","1,318","1,820",33,16,17
2020,양천구,소계,"457,781","224,379","233,402","65,670","29,487","36,183","65,541","29,422","36,119",129,65,64
2020,양천구,목1동,"31,727","15,245","16,482","3,122","1,430","1,692","3,112","1,425","1,687",10,5,5
2020,양천구,목2동,"30,705","14,915","15,790","4,094","1,822","2,272","4,083","1,815","2,268",11,7,4
2020,양천구,목3동,"22,643","10,801","11,842","3,270","1,413","1,857","3,259","1,408","1,851",11,5,6
