기간,자치구,동,총 수급자,총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
기간,자치구,동,가구,시설,인원,가구,인원,가구,인원,가구,인원,시설,인원
2020,구로구,오류2동,928,-,"1,491",754,"1,147",93,223,81,121,-,-
2020,구로구,항동,274,-,528,221,424,32,76,21,28,-,-
2020,구로구,기타,17,24,495,17,16,-,-,-,-,24,479
2020,금천구,소계,"8,372",26,"11,637","6,697","8,738","1,618","2,498",57,72,26,329
2020,금천구,가산동,594,-,667,435,481,156,182,3,4,-,-
2020,금천구,독산1동,"1,235",-,"1,701","1,033","1,379",196,315,6,7,-,-
2020,금천구,독산2동,873,-,"1,201",719,975,149,221,5,5,-,-
2020,금천구,독산3동,759,-,989,595,755,158,228,6,6,-,-
2020,금천구,독산4동,588,-,806,458,577,123,217,7,12,-,-
2020,금천구,시흥1동,"1,106",-,"1,467",877,"1,146",218,309,11,12,-,-
2020,금천구,시흥2동,928,-,"1,250",745,982,180,265,3,3,-,-
2020,금천구,시흥3동,258,-,364,220,298,33,60,5,6,-,-
2020,금천구,시흥4동,876,-,"1,241",709,960,161,269,6,12,-,-
2020,금천구,시흥5동,"1,151",-,"1,619",903,"1,182",243,432,5,5,-,-
2020,금천구,기타,4,26,332,3,3,1,-,-,-,26,329
2020,영등포구,소계,"8,557",26,"10,963","6,893","8,242","1,454","1,948",210,268,26,505
2020,영등포구,여의동,91,-,140,86,127,5,13,-,-,-,-
2020,영등포구,당산1동,419,-,510,313,374,90,118,16,18,-,-
2020,영등포구,당산2동,201,-,250,160,202,34,39,7,9,-,-
2020,영등포구,양평1동,226,-,286,189,227,34,56,3,3,-,-
2020,영등포구,양평2동,204,-,244,164,186,34,51,6,7,-,-
2020,영등포구,신길1동,662,-,796,509,608,118,147,35,41,-,-
2020,영등포구,신길3동,597,-,802,475,599,100,169,22,34,-,-
2020,영등포구,신길4동,509,-,682,412,535,83,127,14,20,-,-
2020,영등포구,신길5동,408,-,538,337,432,59,90,12,16,-,-
2020,영등포구,신길6동,351,-,460,291,371,48,73,12,16,-,-
2020,영등포구,신길7동,178,-,219,150,180,23,30,5,9,-,-
2020,영등포구,대림1동,404,-,535,330,418,66,109,8,8,-,-
2020,영등포구,대림2동,386,-,489,341,409,41,74,4,6,-,-
2020,영등포구,대림3동,647,-,876,547,728,75,114,25,34,-,-
2020,영등포구,영등포본동,806,-,917,663,753,127,146,16,18,-,-
2020,영등포구,영등포동,"1,560",-,"1,639","1,162","1,218",384,405,14,16,-,-
2020,영등포구,도림동,546,-,694,438,538,99,145,9,11,-,-
2020,영등포구,문래동,242,-,270,210,227,30,41,2,2,-,-
2020,영등포구,기타,120,26,616,116,110,4,1,-,-,26,505
2020,동작구,소계,"8,840",16,"12,408","7,526","9,917","1,252","2,046",62,86,16,359
2020,동작구,노량진2동,754,-,988,632,808,118,175,4,5,-,-
2020,동작구,상도1동,882,-,"1,190",768,997,103,175,11,18,-,-
2020,동작구,상도2동,410,-,568,355,483,53,83,2,2,-,-
2020,동작구,상도3동,687,-,983,565,765,118,214,4,4,-,-
2020,동작구,상도4동,865,-,"1,256",710,975,151,274,4,7,-,-
2020,동작구,사당1동,554,-,732,480,620,67,102,7,10,-,-
2020,동작구,사당3동,384,-,518,318,422,64,94,2,2,-,-
2020,동작구,사당4동,394,-,542,346,468,47,73,1,1,-,-
2020,동작구,사당5동,258,-,370,212,295,45,74,1,1,-,-
2020,동작구,대방동,"1,005",-,"1,463",865,"1,205",132,245,8,13,-,-
2020,동작구,신대방1동,429,-,549,363,454,64,92,2,3,-,-
2020,동작구,신대방2동,399,-,533,322,427,74,103,3,3,-,-
2020,동작구,흑석동,569,-,783,485,643,82,137,2,3,-,-
2020,동작구,노량진1동,818,-,"1,028",728,900,83,120,7,8,-,-
2020,동작구,사당2동,391,-,505,337,415,50,84,4,6,-,-
2020,동작구,기타,41,16,400,40,40,1,1,-,-,16,359
